Name,Part,Location,Date,Result,BelligerentsA,BelligerentsB,CommanderA,CommanderB,StrengthA,StrengthB,LossA,LossB
Battle of Krasnoi,"
Part of Napoleon's invasion of Russia
","Krasny, Russia","November 15–18, 1812",Inconclusive; Russian tactical victory," First French Empire
 Duchy of Warsaw", Russian Empire," Napoleon I
 Louis Nicolas Davout
 Eugène de Beauharnais
 Michel Ney"," Mikhail Illarionovich Kutuzov
 Mikhail Miloradovich","42,000 regulars,
39,000 stragglers","60,000–80,000","6,000–13,000 killed,
20,000–26,000 captured ~ (almost all stragglers)","2,000–5,000"
Battle of Kulm,"
Part of the War of the Sixth Coalition
","Kulm, Bohemia",29–30 August 1813,Coalition victory, First French Empire," Russian Empire
 Kingdom of Prussia
 Austria"," Dominique Vandamme (POW)
 Laurent Gouvion Saint-Cyr
 Auguste Marmont"," Alexander Ostermann-Tolstoy
 Barclay de Tolly
 Peter Wittgenstein
 Friedrich von Kleist
 Prince Schwarzenberg
 Hieronymus von Colloredo-Mansfeld","34,000","16,000 on 29 August,
60,000 on 30 August","5,000 killed or wounded,
7,000-13,000 captured","~11,000 total"
Battle of La Rothière,"
Part of the War of the Sixth Coalition
","La Rothière, France",1 February 1814,Coalition victory, French Empire," Prussia
 Russian Empire
 Austrian Empire
 Bavaria
Württemberg",Napoleon I,"Gebhard von Blücher
M. Barclay de Tolly
 Ignaz Gyulai
 Karl von Wrede","45,000
128 guns","120,000","5,600 dead, wounded or captured
73 guns","6,000–7,000 dead or wounded"
Battle of La Suffel,"
Part of the Napoleonic Wars
","Souffelweyersheim and Hoenheim, France",28 June 1815,French victory, French Empire,"
Seventh Coalition:

 Austrian Empire

", Jean Rapp, Crown Prince of Württemberg[1],"About 20,000[2]","About 40,000","~3,000","75 officers and 2,050 men"
Battle of Landshut,"
Part of the War of the Fifth Coalition
","Landshut, Bavaria","April 21, 1809",French victory, Austrian Empire," First French Empire
 Bavaria
 Württemberg",Johann von Hiller,"Napoleon I of France
Jean Lannes
André Masséna","36,000","77,000","9,000-10,000","3,000"
Battle of Laon,"
Part of the War of the Sixth Coalition
","Laon, France",9–10 March 1814,Coalition victory, French Empire," Kingdom of Prussia,
 Russian Empire", Napoleon I," Gebhard von Blücher
 Von Wintzingerode","37,000","90,000","6,500","4,000"
Battle of Leipzig II,"
Part of the War of the Sixth Coalition
","Leipzig, Saxony",16–19 October 1813,Decisive Coalition victory,"
 First French Empire

 Warsaw
 Italy
 Naples
 Saxony (16–17 October)[1]
 Württemberg (16–17 October)

","
Sixth Coalition

 Russia
 Austria
 Prussia
 Sweden
 Saxony(18–19 October) [1]
 Württemberg (18–19 October)
 United Kingdom

"," Napoleon
 Louis-Alexandre Berthier
 Michel Ney
 Joachim Murat"," Alexander I
 Prince of Schwarzenberg
 Count von Bennigsen
 Gebhard von Blücher
 Crown Prince Charles John","
October 16–17: 225,000
700 guns[3]

 160,000[3]
 15,000
 10,000
 40,000

October 18–19: 155,000","
October 16–17: 380,000
1,500 guns[3]

 145,000
 115,000
 90,000
 25,000

October 18–19: 430,000

Includes defecting German troops

","60,000 total:
34,000 dead and wounded, 26,000 captured","54,000 dead, wounded or missing:
Army of Bohemia 34,000
Army of Silesia 12,000
Army of the North 4,000
Army of Poland 4,000"
Battle of Ligny,"
Part of the Waterloo Campaign
","Ligny, present-day Belgium",16 June 1815,French victory, French Empire, Prussia,"
Napoleon I","
Gebhard von Blücher","68,000","84,000","8,000-12,000 dead or wounded","12,000 dead or wounded
27 cannons
8,000 deserters"
Battle of Los Yébenes,"
Part of the Peninsular War
","Los Yébenes, Spain",24 March 1809,Polish lancers fight through Spanish lines but lose their banners, Duchy of Warsaw, Kingdom of Spain,Jan Konopka,Conde de Cartaojal,590 cavalry,"4,000 cavalry
1,000 militia",89 dead or captured,
Battle of Luckau,"
Part of the War of the Sixth Coalition
","Luckau, Brandenburg",6 June 1813,Allied victory, First French Empire," Kingdom of Prussia
 Russian Empire", Nicolas Oudinot, Friedrich von Bülow,"20,000","15,800","2,200, 1 gun",800
Battle of Lübeck,"
Part of the War of the Fourth Coalition
","Lübeck, Germany",6 November 1806,French victory, French Empire," Prussia
 Sweden"," Joachim Murat
 J-B Bernadotte
 Nicolas Soult"," Gebhard Blücher
 Carl Carlsson Mörner"," 35,000, 90 guns"," 17,000, 52 guns
 1,800","Lübeck: 1,500
Schwartau: Light
Ratekau: None","Lübeck: 6,000-8,000
Schwartau: 1,500
Ratekau: 7,810"
Battle of Lützen,"
Part of the War of the Sixth Coalition
","Near Lützen, southwest of Leipzig, present-day Germany","May 2, 1813",Tactical French victory," French Empire
 Duchy of Warsaw"," Russia
 Prussia",Napoleon I [1]," Gebhard Leberecht von Blücher (commander-in-chief)
 Gerhard von Scharnhorst [1]
 Frederick William III (present)[1]
 Peter Wittgenstein
 Alexander I (present)[1]","78,000 engaged
170,000 present","93,000
(56,000 Russians and 37,000 Prussians)","19,500-22,000 dead and wounded","About 8,500 Prussian and 3,000 Russian dead and wounded"
Battle of Maguilla,"
Part of Peninsular War
","Maguilla, Spain","June 11, 1812",French victory, French Empire, United Kingdom, Charles Lallemand, John Slade,700 cavalry,700 cavalry,"51 killed, wounded and captured","40 killed and wounded, 118 captured"
Battle of Maida,"
Part of the War of the Third Coalition
",San Pietro di Maida (present-day Italy),4 July 1806,British tactical victory," United Kingdom
 Kingdom of Sicily","
 France

 Italy
 Polish Legions
 Switzerland

", John Stuart, Jean Reynier,"5,236, 3 guns","5,400, 4 guns",327,"2,082, 722 captured"
Battle of Majadahonda,"
Part of Peninsular War
","Majadahonda, Spain",11 August 1812,Tactical draw[1], French Empire," United Kingdom
 Portugal", Gen Trelliard," Maj-Gen Bock
 Brig-Gen D'Urban","2,000","2,300",200 casualties,"176-200 killed, wounded and captured"
Battle of Maloyaroslavets,"
Part of the French invasion of Russia (1812)
","Maloyaroslavets, Russia",24 October 1812,"French victory[1]
French abandon march toward Kaluga despite victory[2]", First French Empire, Russian Empire, Eugène de Beauharnais & Davout under supervision of Napoleon, Dmitry Dokhturov under supervision of Mikhail Illarionovich Kutuzov,"20,000","12,000 infantry
3,000 cavalry
84 guns
10,000 reinforcements later on.","5,000","6,000"
Battle of María,"
Part of the Peninsular War
","María de Huerva, Spain",15 June 1809,French victory, First French Empire, Kingdom of Spain,Louis Gabriel Suchet,Joaquín Blake,"13,000, 12 guns","14,230, 18 guns",700–800,"4,000–5,000, 16 guns"
Battle of Medellín,"
Part of the Peninsular War
","Medellín, Spain",28 March 1809,French victory, French Empire, Spain,Claude Victor,Gregorio de la Cuesta,"13,000 infantry,
4,500 cavalry,
44 guns","24,000 infantry,
3,500 cavalry,
30 guns","1,000 dead or wounded","8,000/16,000 dead,
2,000 captured"
Battle of Medina de Rioseco,"
Part of the Peninsular War
","Medina de Rioseco, north of Valladolid, Spain",14 July 1808,French victory, French Empire, Spain,Jean-Baptiste Bessières,"Joaquín Blake
Gregorio de la Cuesta","12,550–800 infantry,[2]
950–1,200 cavalry,[1][2]
32 guns[2]","21,300–22,000 regulars and militia,[2]
600 cavalry,
20 guns[2]",400–500 dead or wounded[3],"1,000 dead or wounded,
1,200 missing or captured,
13 guns captured[1]"
Battle of Mesoten,"
Part of French invasion of Russia (1812)
","Mežotne, Latvia","September 29, 1812",Prussian victory, Russian Empire, Kingdom of Prussia,Fabian Steinheil,Ludwig Yorck von Wartenburg,"4 battalions, 2 squadron 2,000 men and several cannons","5 battalions, 5 squadron 2,000 men and several cannons",unknown,unknown
Battle of Mileto,"
Part of the War of the Third Coalition
",Mileto (present-day Italy),28 May 1807,French victory, France, Kingdom of Sicily,Jean Reynier,Louis of Hesse-Philippsthal,"5,000","c. 4,000",,500
Battle of Mir (1812),"
Part of the French invasion of Russia (1812)
","Mir, Russian Empire (present-day Belarus)",9–10 July 1812,"Tactical Russian victory, followed by withdrawal[2]", Duchy of Warsaw, Russian Empire[1]," Alexander Rozniecki
Tyszkiewicz"," Matvei Platov
Alexander Vasilchikov","
~3000 men, ~ 2 guns:

2nd, 3rd, 7th, 11th, 15th, and 16th Uhlan Regiments
Polish 4th Chasseurs
One horse battery

","
~9000 men, 24 guns:

Eight Cossack regiments
Two Don batteries
Akhtyrka Hussars
Kiev and New Russia Dragoons
Two horse batteries
Lithuanian Uhlans
5th Jaegers

","700 killed, 248 taken prisoner","Around 180 killed and wounded, but according to Poles much higher than Polish., including two Cossack colonels killed"
Battle of Mohrungen,"
Part of the War of the Fourth Coalition
","Mohrungen, East Prussia (modern Morąg, Poland)",25 January 1807,French victory, First French Empire, Russian Empire, Marshal Bernadotte, General Markov,"12,000, 36 guns","9,000 to 16,000","1,096 to 2,000","1,400 to 2,000"
Battle of Montereau,"
Part of the War of the Sixth Coalition (Napoleonic Wars)
","Montereau-Fault-Yonne, France",18 February 1814,French victory, First French Empire,"
 Austrian Empire
 Kingdom of Württemberg", Napoleon I," Field Marshal Schwarzenberg
 Frederick I of Württemberg","30,000","18,000","2,500","6,000 and 15 cannons"
Battle of Paris,"
Part of the War of the Sixth Coalition
","Paris, France","March 30–31, 1814","
Decisive Coalition victory

Emperor Napoleon abdicates the throne and is exiled to Elba
Treaty of Fontainebleau
End of the War of the Sixth Coalition

", France," Russia
 Austria
 Prussia"," Joseph Bonaparte
 Auguste Marmont
 Jeannot de Moncey
 Édouard Mortier"," Alexander I
 Michael Andreas Barclay de Tolly
 Louis Alexandre Langeron
 Karl von Schwarzenberg
 Ignaz Giulay
 Frederick William III
 Gebhard von Blucher","20,000 regulars
6,000 National Guards","155,000","5,000","18,000"
Battle of Montmirail,"
Part of the War of the Sixth Coalition
","Montmirail, France",11 February 1814,French victory, French Empire," Kingdom of Prussia,
 Russian Empire", Napoleon I," Ludwig Yorck
 Fabian Osten-Sacken","20,000, 36 guns","36,000","2,000","4,000"
Battle of Mormant,"
Part of War of the Sixth Coalition
","Mormant, France",17 February 1814,French victory, France," Russia
 Württemberg", Napoleon I, Count Petr Pahlen,"18,000–20,000","4,300",600,"3,114, 9 guns"
Battle of Neumarkt-Sankt Veit,"
Part of the War of the Fifth Coalition
","Neumarkt-Sankt Veit, modern-day Germany",24 April 1809,Austrian victory, Austrian Empire," First French Empire
 Kingdom of Bavaria"," Johann von Hiller
 Archduke Louis
 Michael Kienmayer"," Jean Bessières
 Karl von Wrede
 Gabriel Molitor","27,000 to 28,000","Less than 20,661",800 to 898[4],"2,602"
Battle of Nivelle,"
Part of the Peninsular War
","River Nivelle, France",10 November 1813,Allied victory, French Empire," United Kingdom
 Portugal
 Spain", Nicolas Jean de Dieu Soult," Arthur Wellesley, 1st Marquess of Wellington
 Sir John Hamilton, 1st Baronet, of Woodbrook","60,000","80,000","4,351 dead or wounded","2,450 dead or wounded"
Battle of Ocaña,"
Part of the Peninsular War
","Ocaña, near Madrid, Spain",19 November 1809,French victory, French Empire, Spain," Joseph Bonaparte
 Nicolas Soult", Juan Carlos de Aréizaga,"24,000 Infantry, 5,000 Cavalry","45,000 Infantry, 7,000 Cavalry","2,000 dead or wounded","4,000 dead or wounded,
14,000 captured[4]
45 cannon[5]"
Battle of Occhiobello,"
Part of the Neapolitan War
","Occhiobello, present-day Italy",8 April – 9 April 1815,Austrian victory, Austrian Empire, Kingdom of Naples,"Johann Frimont
Johann Freiherr von Mohr",Joachim Murat,"10,000","25,000",400 killed or wounded,"2,000+ killed or wounded"
Battle of Orthez,"
Part of the Peninsular War
","Orthez, Pyrénées Atlantiques, France",27 February 1814,Anglo-Portuguese victory,"
 United Kingdom
 Portugal", French Empire, Arthur Wellesley, Marshal Nicolas Soult,"44,000, 54 artillery pieces","36,000, 48 artillery pieces","2,174 total, including 80 captured","3,985 total, including 1,366 men and 6 cannons captured"
Battle of Ostrovno,"
Part of Russian Campaign
","Ostrovno, Governorate of Vitebsk, Belarus",25 July 1812,"French victory
Russian retreat", Russian Empire, First French Empire,General Ostermann-Tolstoy,"King Joachim of Naples
General de Nansouty","2 infantry divisions
cavalry
66 guns","1 infantry division plus 2 battalions
32 squadrons","2,500 killed and wounded,
150 prisoners,
eight guns",unknown
Battle of Ostrołęka (1807),"
Part of the War of the Fourth Coalition
",Ostrołęka (now in Poland),16 February 1807,French victory, French Empire, Russian Empire, A. J. M. R. Savary, Ivan Essen,"20,000","25,000",,
Battle of Pancorbo,"
Part of the Peninsular War
","Durango, Spain","October 31, 1808",Indecisive, French Empire, Spain,François Joseph Lefebvre,Joaquín Blake,"24,000
36 guns","19,000
6 guns",200 dead or wounded,"300 dead or wounded
300 captured"
Battle of Paris,"
Part of the War of the Sixth Coalition
","Paris, France","March 30–31, 1814","
Decisive Coalition victory

Emperor Napoleon abdicates the throne and is exiled to Elba
Treaty of Fontainebleau
End of the War of the Sixth Coalition

", France," Russia
 Austria
 Prussia"," Joseph Bonaparte
 Auguste Marmont
 Jeannot de Moncey
 Édouard Mortier"," Alexander I
 Michael Andreas Barclay de Tolly
 Louis Alexandre Langeron
 Karl von Schwarzenberg
 Ignaz Giulay
 Frederick William III
 Gebhard von Blucher","20,000 regulars
6,000 National Guards","155,000","5,000","18,000"
Battle of Pesaro,"
Part of the Neapolitan War
","Pesaro, present-day Italy",28 April 1815,Austrian victory, Austrian Empire, Kingdom of Naples,Adam Albert von Neipperg,Joachim Murat,400,"3,000",25 killed or wounded,"200 killed or wounded
250 captured"
Battle of Piave River (1809),"
Part of the War of the Fifth Coalition
","Nervesa della Battaglia, modern-day Italy",8 May 1809,Franco-Italian victory," First French Empire
 Italy", Austrian Empire,Viceroy Eugène,Archduke John,"44,800[2]","24,120 to 28,000[4]","2,000","3,896, 15 guns"
Battle of Pombal,"
Part of the Peninsular War
","Pombal, Portugal","March 11, 1811",French victory, French Empire," United Kingdom
 Portugal", Michel Ney," Viscount Wellington
 Luís do Rego Barreto","9,340","16,000",227,205
Battle of Prenzlau,"
Part of the War of the Fourth Coalition
","Prenzlau, Brandenburg, Germany",28 October 1806,French victory, First French Empire, Prussia, Joachim Murat, Prince Hohenlohe,"12,000, 12 guns","10,000, 64 guns","Unknown, slight","10,000, 64 guns"
Battle of Pułtusk,"
Part of the War of the Fourth Coalition
","Pułtusk, New East Prussia","December 26, 1806",Tactical French victory., First French Empire,"
 Russian Empire
 Kingdom of Prussia", Marshal Lannes, General Bennigsen,"18,000 soldiers plus another 5,000-7,000 late arrivals","50,000-55,000 soldiers, 128 guns","1,200","3,500–5,000"
Battle of Quatre Bras,"
Part of the Waterloo Campaign
","Quatre Bras, present-day Belgium",16 June 1815,"Tactical allied victory;[1]
French strategic victory[2]", French Empire,"Seventh Coalition:
 United Kingdom
 United Netherlands
 Hanover
 Nassau
 Duchy of Brunswick", Michel Ney," Duke of Wellington,
 Prince William of Orange
 Frederick William, Duke of Brunswick-Wolfenbuttel †","
18,000 infantry, 2,000 cavalry,

32 guns","INITIAL: 8,000 infantry,
16 guns
FINAL: 36,000 infantry,
70 guns","4,140 dead or wounded","4,800 dead or wounded"
Battle of Raab,"
Part of War of the Fifth Coalition
","Győr (in German Raab), Győr County, West-Hungary, between villages of Kismegyer and Szabadhegy (Hungarian Kingdom of the Austrian Empire)",14 June 1809,Franco-Italian victory," French Empire
 Kingdom of Italy","
 Austrian Empire

 Kingdom of Hungary

",Eugène de Beauharnais,"Archduke John of Austria
Archduke Joseph Palatine","39,902, 42 guns","35,525, 30 guns","4,000 killed or wounded","6,235 killed, wounded, captured, or missing"
Battle of Raszyn,"
Part of the Polish-Austrian War, itself part of the War of the Fifth Coalition
","Raszyn, present-day Poland",19 April 1809,Polish victory, Austrian Empire, Duchy of Warsaw,Archduke Ferdinand,Józef Poniatowski,"24,500 infantry
4,500 cavalry
94 cannons","10,500 infantry
3,500 cavalry
44 cannons","
2,300 total:
800 killed
1,500 wounded","
1,390 total:
450 killed
900 wounded
40 captured"
Battle of Ratisbon,"

Marshal Lannes leads the storming of the citadel at the Battle of Ratisbon, as painted by Charles Thévenin.
","Regensburg, Principality of Regensburg",23 April 1809,French victory, Austrian Empire, First French Empire,Archduke Charles,"Emperor Napoleon I
Jean Lannes","26,000","37,000","6,000+","1,500-2,000"
Battle of Redinha,"
Part of the Peninsular War
","River Soure, Portugal","March 12, 1811",French victory[1], French Empire," United Kingdom,
 Portugal", Michel Ney, Viscount Wellington,"7,000, 6 guns","25,000, 12 guns",150 dead or wounded,"1,800 dead or wounded,"
Battle of Reims,"
Part of War of the Sixth Coalition
","Reims, France",13 March 1814,French victory, French Empire," Russia
 Prussia", Napoleon I," E. Saint-Priest †
 Friedrich von Jagow","10,000","15,000",700,"Russians: 1,400, 12 guns
Prussians: 1,300, 10 guns"
Battle of Rocheserviere,"
Part of the Hundred Days
",Rocheservière,20 June 1815,Bonapartist victory, French Empire, Kingdom of France," Jean Maximilien Lamarque
 Jean-Pierre Travot"," Pierre Constant Suzannet
 Charles Autichamp","c. 6,000 Bonapartists","c. 8,000 Vendeans","10 killed
60 wounded","100 killed
500 wounded"
Battle of Rocquencourt,"
Part of the Napoleonic Wars (Seventh Coalition 1815)
","Rocquencourt–Le Chesnay, France",1 July 1815,French victory, First French Empire, Kingdom of Prussia, General Exelmans, Lieutenant Colonel Sohr,"3,000 blocking cavalry, with an additional cavalry division and three battalions of the 33rd Regiment of Infantry.",600–700 officers and light cavalry troopers.,Unknown,10 officers and 400–500 troopers.
Battle of Roliça,"
Part of the Peninsular War
",Near the village of Roliça in Portugal,17 August 1808,"Anglo-Portuguese victory, tactical French retreat"," United Kingdom
 Portugal"," French Empire
 Swiss Confederation", Sir Arthur Wellesley, Henri Delaborde,"14,800-15,700 infantry and cavalry","4,000-4,930 infantry and cavalry
5 guns",487 killed and wounded,"700 killed and wounded,
3 guns captured"
Battle of Ronco,"
Part of the Neapolitan War
","Forlì, present-day Italy",21 April 1815,Austrian victory, Austrian Empire, Kingdom of Naples,Adam Albert von Neipperg,Joachim Murat,"3,000","8,000",150 killed or wounded,"1,000 killed or wounded"
Battle of Saalfeld,"
Part of the War of the Fourth Coalition
","Saalfeld, Germany",10 October 1806,French victory, French Empire," Kingdom of Prussia
 Electorate of Saxony"," Jean Lannes
 Claude Victor-Perrin
 Louis Gabriel Suchet", Prince Louis Ferdinand †,"12,800
14 guns","8,300
44 guns",172 dead or wounded,"900 dead or wounded
1,800 captured[2]
28 guns[2]"
Battle of Sabugal,"
Part of the Peninsular War
","Sabugal, Portugal","April 3, 1811",Anglo-Portuguese victory, French Empire," United Kingdom
 Portugal", Jean Reynier," Arthur Wellesley
Sir William Erskine","8,800","3,200—13,200","1,540",179
Battle of Sacile,"
Part of the War of the Fifth Coalition
","Sacile, modern-day Italy",15–16 April 1809,Austrian victory," First French Empire
 Italy", Austrian Empire,Eugène de Beauharnais,Archduke John,"37,050, 54 guns","39,000, 55-61 guns","Pordenone: 2,500, 4 guns
Sacile: 6,500, 19 guns","Pordenone: 253
Sacile: 3,846 to 4,100[2]"
Battle of Saguntum (1811),"
Part of Peninsular War
","Sagunto, Spain",25 October 1811,French victory, French Empire, Spain, Louis Suchet, Joaquín Blake,"20,000","28,000","1,000","6,000"
Battle of Sahagún,"
Part of the Peninsular War
",Leon Spain,21 December 1808,British victory, French Empire, United Kingdom,César Alexandre Debelle," Henry, Lord Paget",ca. 800 Cavalry,ca. 400 Cavalry,"20 killed and wounded,
13 officers and over 300 other ranks captured","4 killed
21 wounded"
Battle of Saint-Dizier,"
Part of War of the Sixth Coalition
","Saint-Dizier, France",26 March 1814,French victory, First French Empire, Russian Empire,Napoleon I,Ferdinand Wintzingerode,"30,000-34,000[1]","10,000, mostly cavalry[2]",,
Battle of Salamanca,"
Part of the Peninsular War
","Arapiles, Salamanca, Spain",22 July 1812,Decisive Allied victory[1]," United Kingdom
 Portugal
 Spain", French Empire, Earl of Wellington," Auguste de Marmont
 Bertrand Clausel","51,949","49,647","Dead or wounded:
3,129 British,
2,038 Portuguese
6 Spanish","Dead or wounded:
6,000
Captured:
7,000 "
Battle of Saltanovka (known as Mogilev in the West),"
Part of the French campaign in Russia
","Near Mogilev, Belarus","July 23, 1812",French victory, Russia, France, Nikolay Raevsky, Louis Nicolas Davout,"20,000","28,000 (9,000 engaged)
22,000 infantry
6,000 cavalry ","2,500 - 5,200 dead, wounded or missing ","1,000 - 4,134 dead, wounded or missing "
Battle of San Germano,"
Part of the Neapolitan War
","Cassino, present-day Italy",15 May – 17 May 1815,Austrian victory, Austrian Empire, Kingdom of Naples,Laval Nugent von Westmeath,Joachim Murat,"8,000","15,000",500 killed or wounded,"3,500 killed or wounded
1,000+ captured"
Battle of San Marcial,"
Part of the Peninsular War
","Near Irun, Spain",31 August 1813,Spanish victory[1], French Empire," Spain
 United Kingdom (at Vera)", Nicolas Jean Dieu Soult," Manuel Freire
 Gabriel de Mendizábal Iraeta","18,000","16,000","4,000 dead or wounded","2,500 dead or wounded"
Battle of Sankt Michael,"
Part of the Napoleonic Wars
","Sankt Michael in Obersteiermark, Austria",25 May 1809,French victory, First French Empire, Austrian Empire, Paul Grenier, Franz Jellacic,"12,000 to 15,000[2]","8,000 to 9,000[1]",670,"6,573"
Battle of Scapezzano,"
Part of the Neapolitan War
","West of Senigallia, present-day Italy",1 May 1815,Austrian victory, Austrian Empire, Kingdom of Naples,Adam Albert von Neipperg,Michele Carascosa,"15,300","8,256 men
240 horses
10 guns",light,light
Battle of Schleiz,"
Part of the War of the Fourth Coalition
","Schleiz, Germany",9 October 1806,French victory, French Empire, Prussia," Joachim Murat
 Jean Bernadotte
 Jean-Baptiste Drouet", Bogislav Tauentzien,"20,594, 34 guns
Engaged: 4,000, 12 guns","9,000
Engaged: 2,600, 8 guns",light,"566, 1 gun"
Battle of Schöngrabern (or Hollabrunn),"
Part of the War of the Third Coalition
","Schöngrabern, Hollabrunn",16 November 1805,"French tactical victory;
Russian strategic victory", First French Empire," Russian Empire
 Austrian Empire","Joachim Murat
Jean Lannes",Petr Bagration,"45,806 present.
20,661 engaged","about 7,300 in total","1,200 total casualties","1,200 killed
1,448 captured"
Battle of Sehested,"
Part of the War of the Sixth Coalition
",Sehested in Holstein,10 December 1813,Danish victory, Denmark–Norway," Sweden
 Prussia
 Russia", Prince Frederik of Hesse, Ludwig von Wallmoden-Gimborn,"9,500","5,000",550 killed or wounded,"620 killed or wounded
600 captured"
Battle of Smolensk,"
Part of the French invasion of Russia (1812)
","Smolensk, Russia","August 16–18, 1812","French strategic victory, Russian withdrawal"," First French Empire
 Duchy of Warsaw", Russian Empire,Napoleon I of France,"Barclay de Tolly
Pyotr Bagration","200,000 men
50,000 engaged
84 artillery","200,000 men
30,000 engaged
108 artillery","4,200–10,000 killed and wounded","4,000–14,000 killed, wounded and missing"
Battle of Smoliani,"
Part of French invasion of Russia (1812)
","Smolyany, Governorate of Vitebsk, Belarus","November 13-November 14, 1812",Russian victory, Russian Empire, First French Empire,Prince Peter Wittgenstein,"Marshal Claude Victor,
Marshal Nicholas Oudinot","30,000 troops","approximately 25,000 troops available; 6,000 involved on the 1st day; 5,000 involved on the 2nd day","3,000","3,000"
Battle of Somosierra,"
Part of the Peninsular War
","Somosierra Pass, Segovia, Spain","November 30, 1808",French victory," French Empire
 Duchy of Warsaw", Spain,"Napoleon I
Jan Leon Kozietulski",Benito de San Juan,"45,000","20,000 infantry,
16 guns",57 dead or wounded,"250 dead or wounded,
3,000 captured"
Battle of Sorauren,"
Part of Peninsular War
","Navarra, Spain",28 July - 1 August 1813,Allied victory," United Kingdom
 Portugal
 Spain", French Empire," Arthur Wellesley, Marquess of Wellington", Jean-de-Dieu Soult,"24,000 men","30,000 men","2,600 dead or wounded","4,000 dead or wounded"
Battle of Stralsund,"
Part of Napoleonic Wars
","Stralsund, Swedish Pomerania",31 May 1809,French victory,Prussian freikorps," France
 Danish auxiliaries
 Dutch auxiliaries",Ferdinand von Schill  †,"Pierre Guillaume Gratien
Johann von Ewald","2,000","6,000",>500 captured,
Battle of Talavera,"
Part of the Peninsular War
","Talavera, southwest of Madrid, Spain",27–28 July 1809,"Tactical Anglo-Spanish victory[1][2]
Strategic French victory[3]"," United Kingdom
 Spain", French Empire," Arthur Wellesley
 Gregorio de la Cuesta"," Joseph Bonaparte
 Jean-Baptiste Jourdan","
55,634:

20,641 British,
30 cannon
34,993 Spanish,[4]
30 cannon

","46,138,
80 cannon","British - 6, 268
Spanish - 1,200[3]","French - 7,389"
Battle of Tamames,"
Part of the Peninsular War
","Tamames, near Salamanca, Spain","October 18, 1809",Spanish victory, French Empire, Spain,Jean Marchand,Duke del Parque,"9,000 infantry,
2,000 cavalry,
14 guns","20,000 infantry,
1,400 cavalry
30 guns","1,300 dead or wounded",672 dead or wounded
Battle of Tarutino,"
Part of French invasion of Russia (1812)
","Tarutino, Russia",18 October 1812,Russian victory, Russian Empire, First French Empire,Count Levin August von Bennigsen,King Joachim Murat,"36,000;
13,000 actually participated in the battle.","26,000","1,200","2,500 dead,
2,000 captured,
38 cannon lost"
Battle of Tarvis (1809),"
Part of the War of the Fifth Coalition
","Tarvisio, modern-day Italy",15 May to 18 May 1809,French victory, First French Empire, Austrian Empire, Eugène de Beauharnais, Albert Gyulai,"Tarvis: 25,000
Predil: 8,500, 12 guns
Malborghetto: 15,000","Tarvis: 6,000, 10 guns
Predil: 250, 8 guns
Malborghetto: 650, 10 guns","Tarvis: 380
Predil: 450
Malborghetto: over 80","Tarvis: 1,789, 6 guns
Predil: 250, 8 guns
Malborghetto: 650, 10 guns"
Battle of Teugen-Hausen,"
Part of the War of the Fifth Coalition
","Teugn, Bavaria",19 April 1809,Strategic French victory, Austrian Empire," First French Empire
 Bavaria"," Archduke Charles
 Prince Hohenzollern
 Prince Rosenberg
 Ludwig Thierry"," Emperor Napoleon I
 Louis Davout
 Louis Montbrun
 François Lefebvre","Teugen-Hausen: 18,000
Dünzling: 12,300[2]
Arnhofen: 5,000[2]","Teugen-Hausen: 28,000
Dünzling: 4,000[2]
Arnhofen: 7,600[2]","Teugen-Hausen: 3,862
Dünzling: 1,084[2]
Arnhofen: 400[2]","Teugen-Hausen: 4,000
Dünzling: 233[2]
Arnhofen: 227[2]"
Battle of the Bidassoa (1813),"
Part of Peninsular War
","Near Hendaye, France and La Rhune",7 October 1813,Tactical Allied victory, French Empire," United Kingdom
 Portugal
 Spain", Nicolas Soult, Marquess Wellington,"62,000","89,000","1,650, 17 cannons","1,600"
