Name,Part,Location,Date,Result,BelligerentsA,BelligerentsB,CommanderA,CommanderB,StrengthA,StrengthB,LossA,LossB
Battle of the Côa Valley,"
Part of Peninsular War
","River Côa, Portugal","July 24, 1810",French victory, French Empire," United Kingdom
 Portugal",Marshal Michel Ney,Brig. Gen Robert Craufurd,"20,000 men (only 6000 engaged)","5,000 men, 6 guns","300-530 killed, wounded or captured","309-500 killed or wounded, 83 Missing."
Battle of the Gebora,"
Part of the Peninsular War
","Badajoz, Spain",19 February 1811,French victory,"


 Spain
 Portugal


","


 French Empire


","Gabriel Mendizábal
Marquis La Romana","


Jean de Dieu Soult
Édouard Mortier


","


12,000
17 guns


","


7,000
12 guns


","


1,000 dead or wounded
4,000 captured


","


400


"
Battle of the Göhrde,"
Part of the War of the Sixth Coalition
",near Göhrde in Niedersachsen,18 September 1813,Coalition victory, France," Prussia
 Russia
 United Kingdom
 Hanover",Pécheux,Wallmoden,"3,000 men","7,800 men","1,000 men",?
Battle of the Mincio River,"
Part of the War of the Sixth Coalition
","Mincio River, present-day Italy",8 February 1814,Indecisive," First French Empire
 Kingdom of Italy", Austrian Empire, Eugène de Beauharnais, Heinrich von Bellegarde,"34,000","35,000","3,500 dead and wounded","4,000 dead, wounded, and captured"
Battle of the Panaro,"
Part of the Neapolitan War
","Castelfranco Emilia, present-day Italy",3 April 1815,Neapolitan victory, Austrian Empire, Kingdom of Naples,Frederick Bianchi,"Joachim Murat
Michele Carrascosa (it)
Pietro Colletta","6,600 (all engaged)","40,000 (7,000 engaged)",461,409
Battle of the Pyrenees,"
Part of Peninsular War
","North Pyrenees, Spain",25 July to 2 August 1813,Allied victory, French Empire," United Kingdom
 Portugal
 Spain", Marshal Nicolas Soult, Marquess Wellington,"79,000","62,000","12,501","7,000"
Battle of Tolentino,"
Part of the Neapolitan War
","Tolentino, Macerata, present-day Italy",2 – 3 May 1815,Decisive Austrian victory, Austrian Empire, Kingdom of Naples, Frederick Bianchi, Joachim Murat,"11,938 men
1,452 horses
28 guns","25,588 men
4,790 horses
58 guns","
800 total:
700 killed
100 wounded","
4,120 total:
1,120 killed
600 wounded
2,400 captured"
Battle of Toulouse,"
Part of the Peninsular War
","Toulouse, France",10 April 1814,"
Indecisive:

Allied victory[1][2] and French victory [3][4] are both claimed.

", French Empire," United Kingdom
 Spain
 Portugal", Nicolas Jean Dieu Soult," Marquess of Wellington
 Manuel Freire","42,430","49,446","3,236 dead or wounded","593 dead,
4,054 wounded"
Battle of Trafalgar,"
Part of the Trafalgar Campaign
","Cape Trafalgar, Spain",21 October 1805,Decisive British victory, United Kingdom," First French Empire
 Kingdom of Spain"," Horatio Nelson †
 Cuthbert Collingwood"," Pierre-Charles Villeneuve (POW)
 Federico Gravina (DOW)","
33 ships
(27 ships of the line and six others)","
41 ships
(France: 18 ships of the line and eight others
Spain: 15 ships of the line)","
458 dead
1,208 wounded

Total: 1,666","
France:
10 ships captured,
one ship destroyed,
2,218 dead,
1,155 wounded,
4,000 captured
Spain:
11 ships captured,
1,025 dead,
1,383 wounded,
4,000 captured[2]
Aftermath:
Apx. 3,000 prisoners drowned in a storm after the battle

Total: 13,781"
Battle of Tudela,"
Part of the Peninsular War
","Tudela, Navarre, Spain",23 November 1808,French-Polish victory," French Empire
 Duchy of Warsaw", Spain," Marshal Lannes
 General Lefebvre-Desnouettes
 Marshal Ney","General Francisco Castaños
 General Palafox
 General O'Neylle
 General La Peña
 General Grimarest","31,000","33,000",650 dead or wounded,"4,000 dead, wounded, or captured
26 guns lost"
Battle of Uclés,"
Part of the Peninsular War
","Uclés, Spain",13 January 1809,French victory, French Empire, Spain, Claude Perrin Victor, Francisco Venegas,"16,300","11,980",200,"6,887"
Battle of Ulm,"
Part of the Ulm Campaign
","Ulm, in present-day Württemberg, Germany (at the time part of the Electorate of Bavaria)",15 to 20 October 1805,"Decisive French victory
Destruction of the Austrian Army in Bavaria, French control of Bavaria ensues.", France, Holy Roman Empire,Napoleon I, Mack von Liebereich (POW),"80,000","40,000","500 dead,
1,000 wounded","4,000 dead,
27,000 captured,
66 cannons"
Battle of Usagre,"
Part of Peninsular War
","Usagre, Spain",25 May 1811,Allied victory, French Empire," United Kingdom
 Portugal
 Spain", Maj-Gen Latour-Maubourg, Maj-Gen Lumley,"3,500","2,300, 6 cannons","250 killed, wounded and captured ",20 killed and wounded
Battle of Valencia,"
Part of the Peninsular War
","Valencia, Spain",24–26 June 1808,Spanish victory, Spain, French Empire," Conde de Cervellón
 Felipe Augusto de Saint-Marcq",Bon Adrien Jeannot de Moncey,"1,500 regulars,
6,500 militia,
11,000 civilians
Total: 19,000","9,000 regulars",,"1,100 dead or wounded"
Battle of Valls,"
Part of the Peninsular War
","Valls, Spain",25 February 1809,French victory, French Empire, Spain,Laurent Gouvion Saint-Cyr,Theodor von Reding (DOW),"13,350","10,540 infantry,
700 cavalry,
8 guns","1,000 killed or wounded","1,400 killed or wounded,
1,600 captured"
Battle of Valmaseda,"
Part of the Peninsular War
","Valmaseda, near Bilbao, Spain","November 5, 1808",Spanish victory, French Empire, Spain,Eugene-Casimir Villatte,Joaquín Blake y Joyes,"13,000","24,000","300 dead or wounded,
300 men & baggage captured",50 dead or wounded
Battle of Valutino,"
Part of French invasion of Russia (1812)
","Near Smolensk, Russia",18 August 1812,"Marginal French victory
Successful Russian retreat", First French Empire, Russian Empire,"Michel Ney
Jean-Andoche Junot",Michael Andreas Barclay de Tolly,"30,000","40,000","7,000","6,000"
Battle of Vauchamps,"
Part of the War of the Sixth Coalition
","Vauchamps, France","February 14, 1814",French victory, French Empire," Kingdom of Prussia,
 Russian Empire","Napoleon I,
Marshal Marmont,
General Grouchy", Field-marshal Blücher,"10,000","21,500",600 men,"9,000 men
15 artillery pieces
10 flags"
Battle of Venta del Pozo,"
Part of the Peninsular War
","Villodrigo, Province of Palencia, Castile and León, Spain",23 October 1812,"Indecisive;
French tactical victory[1]", French Empire, United Kingdom," Pierre Boyer,
Jean-Baptiste Curto", Stapleton Cotton,"3,200 cavalry","2,800 infantry, cavalry, artillery","200–300 killed, wounded or captured","165 killed and wounded,
65 captured"
Battle of Verona (1805),"
Part of the War of the Third Coalition
","Verona, modern-day Italy",18 October 1805,French victory, France, Holy Roman Empire, André Masséna," Archduke Charles
 Josef Vukassovich","13 battalions, 15 guns","6 battalions, 1 squadron, 12 guns",323 to 450[1],"1,152 to 1,622, 4 guns[1]"
Battle of Villafranca del Bierzo,"
Part of the Peninsular War
","Near Villafranca del Bierzo, Spain",17 March 1809,Spanish victory, French Empire, Spain, unknown, General La Romana,"c. 1,200","3,800–6,000","c. 1,200",unknown
Battle of Villagarcia,"
Part of Peninsular War
","Villagarcia, Extremadura, Spain",11 April 1812,British victory, French Empire, United Kingdom, Charles Lallemand, Stapleton Cotton,"1,100 cavalry","1,400 cavalry","53 killed and wounded,
136 captured",51 killed and wounded
Battle of Vimeiro,"
Part of the Peninsular War
","Near Vimeiro, Portugal","August 21, 1808","Anglo-Portuguese victory, Convention of Sintra"," United Kingdom
 Portugal", French Empire, Sir Arthur Wellesley, Jean-Andoche Junot,"17,000–20,500 men
18–19[1] guns","13,000–14,000 men
23–24[1] guns",720 killed and wounded,"
2,160 killed and wounded

370–450 killed
1,630–1,710 wounded[2]
13 guns captured

"
Battle of Vitebsk,"
Part of Russian Campaign
","Vitebsk, Governorate of Vitebsk, Belarus, then Russian Empire",26–27 July 1812,"French tactical victory
Strategic Russian retreat", Russian Empire, First French Empire,"General Konovnitsyn
General Pahlen",Emperor Napoleon I,"90,000 men
(only a fraction engaged)","two divisions,
elements of Ist Cavalry Corps","around 3,000","around 1,400"
Battle of Vitoria,"
Part of the Peninsular War
","Vitoria, Spain",21 June 1813,Decisive Allied victory, French Empire," United Kingdom
 Portugal
 Spain"," Joseph Bonaparte
 Jean-Baptiste Jourdan
Honoré Gazan"," Marquess of Wellington
 Thomas Graham
 Rowland Hill
 Lord Dalhousie","
60,000

49,000 infantry
11,000 cavalry
151 guns

","
82,000

57,000 British
16,000 Portuguese
8,000 Spanish
96 guns

","~8,000 dead, wounded or captured
All 151 guns captured or destroyed.
King Joseph's baggage train captured.","
5,158 dead or wounded

3,675 British
921 Portuguese
562 Spanish

"
Battle of Vyazma,"
Part of French invasion of Russia (1812)
","Vyazma, Russia","November 3, 1812",Russian victory, Russian Empire," First French Empire
 Naples
 Duchy of Warsaw
Confederation of the Rhine", General Mikhail Miloradovich," Louis Nicolas Davout
 Eugène de Beauharnais
 Józef Antoni Poniatowski[disputed – discuss]
 Józef Zajączek
 Michel Ney","26,500 troops","37,000, of whom 24,000 took part in the battle","1,800 killed and wounded","8,000, including 4,000 taken prisoner"
Battle of Wagram,"
Part of the War of the Fifth Coalition
",Northeast of Vienna,5–6 July 1809,"
Decisive French victory:

Armistice of Znaim
Treaty of Schönbrunn
End of the Fifth Coalition

","
 France

 Saxony
 Bavaria
 Italy

", Austria,Napoleon I,Charles of Austria,"154,000","158,000","25,000-37,000 dead, wounded, missing.","30,000-40,000 dead, wounded or missing."
Battle of Waren-Nossentin,"
Part of the War of the Fourth Coalition
","Waren (Müritz), Germany",1 November 1806,Prussian victory, French Empire, Prussia, Marshal Bernadotte," August von Pletz
 Ludwig Yorck","12,000","4,000 to 5,000, 4 guns","Waren: over 46
Nossentin: Unknown","Waren: 26
Nossentin: Unknown"
Battle of Waterloo,"
Part of the Waterloo Campaign
","Waterloo, then Netherlands, present day Belgium; 15 km (9.3 mi) south of Brussels",18 June 1815,Decisive Coalition victory, France,"Seventh Coalition:
 United Kingdom
 Netherlands
 Hanover
 Nassau
 Brunswick
 Prussia"," Napoleon
 Michel Ney"," Duke of Wellington
 Gebhard Leberecht von Blücher","
73,000

50,700 infantry
14,390 cavalry
8,050 artillery and engineers
252 guns

","
Anglo-allies: 68,000[3]

United Kingdom: 25,000 British and 6,000 King's German Legion
Netherlands: 17,000
Hanover: 11,000
Brunswick: 6,000
Nassau: 3,000[4]
156 guns[5]


Prussians: 50,000[6]

Total: 118,000","
Total: 41,000

24,000 to 26,000 killed, wounded including 6,000 to 7,000 captured
15,000 missing[8]

","
Total: 24,000

Anglo-allies: 17,000

3,500 killed
10,200 wounded
3,300 missing

Prussians: 7,000

1,200 killed
4,400 wounded
1,400 missing[9]

"
Battle of Wavre,"
Part of the Waterloo Campaign
","50°43′N 04°36′E﻿ / ﻿50.717°N 4.600°E﻿ / 50.717; 4.600﻿ (Battle of Wavre)Coordinates: 50°43′N 04°36′E﻿ / ﻿50.717°N 4.600°E﻿ / 50.717; 4.600﻿ (Battle of Wavre)
Wavre, present-day Belgium",18–19 June 1815,"French tactical victory
Prussian operational victory", French Empire, Prussia, Marshal Grouchy, Johann von Thielmann,"33,000 infantry
80 cannon","17,000 infantry
48 cannon","2,500 dead and wounded","2,500 dead and wounded"
Battle of Wertingen,"
Part of the War of the Third Coalition
","Wertingen, present-day Germany",8 October 1805,French victory, First French Empire, Holy Roman Empire," Joachim Murat
 Jean Lannes", Franz von Auffenberg,"12,000","5,500",200+ killed or wounded,"400 killed or wounded,
2,900 captured"
Battle of Wörgl,"
Part of the War of the Fifth Coalition
","Wörgl, modern-day Austria",13 May 1809,Bavarian victory, Austrian Empire," First French Empire
 Kingdom of Bavaria", Johann Chasteler," François Lefebvre
 Karl von Wrede
 Bernhard Deroy","5,000, 17 guns","over 9,450, 18 guns","600, 11 guns to 3,000, 9 guns[1]",191
Battle of Ölper,"
Part of the War of the Fifth Coalition
","Ölper, now a district of the city of Braunschweig",1 August 1809,Tactical draw,Black Brunswickers,Kingdom of Westphalia,"Frederick William, Duke of Brunswick-Wolfenbüttel",Jean-Jacques Reubell,"c. 2,000","c. 5,000",40-90,200-500
Battles of Bergisel,"
Part of the War of the Fifth Coalition
","Bergisel, south of Innsbruck, Austria",12 April – 1 November 1809,Eventual French/Bavarian victory, Tyroleans," Kingdom of Bavaria
 First French Empire"," Andreas Hofer
 Josef Speckbacher
 Peter Mayr
 Joachim Haspinger
 Martin Teimer"," François Lefebvre
 Bernhard Deroy
 Karl von Wrede
 General Rechberg
 Jean Drouet d'Erlon","5,000","5,000 (later 15,000)",,
Blockade of Almeida 1811,"
Part of Peninsular War
","Almeida, Portugal",14 April to 10 May 1811,Successful French escape, French Empire," United Kingdom
 Portugal", Antoine Brenier," William Erskine
 Alexander Campbell
 Luís do Rego Barreto","1,400","13,000",360,50
Capitulation of Erfurt,"
Part of the War of the Fourth Coalition
","Erfurt, Germany",16 October 1806,French victory, First French Empire, Prussia, Joachim Murat, Prince of Orange,"16,000","12,000, 65 guns",None,"12,000, 65 guns"
Capitulation of Pasewalk,"
Part of the War of the Fourth Coalition
","Pasewalk, Germany",29 October 1806,French victory, First French Empire, Prussia," Édouard Milhaud
 Antoine Lasalle", Colonel von Hagen,"1,500","4,200, 8 guns",None,"4,200 soldiers captured,
8 guns captured,
37 colors captured"
Capitulation of Stettin,"
Part of the War of the Fourth Coalition
","Stettin, Prussia (now Szczecin, Poland)",29–30 October 1806,French victory, First French Empire, Kingdom of Prussia, Antoine Lasalle, Friedrich Romberg,"800, 2 guns","5,300, 281 guns",None,"5,300 captured,
281 guns captured"
Capture of the Rosily Squadron,"
Part of the Peninsular War
","Cádiz, Spain",9–14 June 1808.,"Spanish victory, French squadron surrenders to Spain", French Empire, Spain, François Rosily  (POW)," Juan Ruiz de Apodaca
 Tomás de Morla y Pacheco","5 ships of the line,
1 frigate,
4,000 sailors","5 ships of the line,
1 frigate
At least 2,000 sailors and militia,
Numerous gunboats","13 dead,
46 wounded,
3,676 captured,
6 ships captured[2]
Total: 3,735","4 dead,
50 wounded,
15 gunboats sunk
Total: 54"
Combat of Barquilla,"
Part of Peninsular War
","Heights of Barquilla, north of Villar de Puerco, Spain","July 11, 1810",British victory, French Empire," United Kingdom
 Portugal", Pierre Gouache, Robert Craufurd,"200 infantry
30-40 cavalry",unknown,31 captured,32-40 casualties
Battles of El Bruc,"
Part of the Peninsular War
","El Bruc, near Barcelona, Spain","June 6 and June 14, 1808","1st: Spanish victory
2nd: Spanish victory", French Empire, Kingdom of Spain," François de Schwarz
 Joseph Chabran"," Antoni Franch i Estalella
 Joan Baiget","3,800–5,000 regulars","2,000 regulars and militia","6 June:
360 dead
800 wounded
60 captured
1 gun captured
Total: 1,220
14 June:
83 dead
274 wounded
Total: 357
Grand total: 1,577","6 June:
20 dead
80 wounded
Total: 100
14 June:
15 dead
50 wounded
Total: 65
Grand total: 165"
Combat of Korneuburg,"
Part of the War of the Fifth Coalition
","Korneuburg, present-day Austria, then Austrian Empire",7 July 1809,French victory, French Empire, Austrian Empire, Claude Legrand, Johann von Klenau,"13,000 men
24 cannons","18,000 men
64 cannons",350 men,at least 300 men
Combat of Schöngrabern,"
Part of the War of the Fifth Coalition
","Hollabrunn, present-day Austria, then Austrian Empire",10 July 1809,French victory, French Empire, Austrian Empire, Claude Legrand, Prince Heinrich XV of Reuss-Plauen,"11,000 men
24 cannons","27,000 men (6,000 engaged)
32 cannons",unknown,unknown
Combat of Stockerau,"
Part of the War of the Fifth Coalition
","Stockerau, present-day Austria, then Austrian Empire",8 July 1809,Austrian victory," French Empire
 Grand Duchy of Hesse", Austrian Empire, Jacob Marulaz, Ludwig Wallmoden,150 cavalrymen,"around 1,200 men",most troops engaged,light
Dalmatian Campaign (1809),"
Part of the War of the Fifth Coalition
","Dalmatia, Croatia",26 April – 21 May 1809,French victory, First French Empire, Austrian Empire, Auguste Marmont," Andreas Stoichevich
 Matthias Rebrovich","14,000","8,100–9,000","Zrmanja River: 1,200
Pribudić: light
Gračac: 300
Gospić: 1,004","Zrmanja River: 250
Pribudić: 1,000
Gračac: 300
Gospić: 764, 2-5 guns"
Dos de Mayo,"
Part of the Peninsular War
","Madrid, Spain",2 May 1808,"

Uprising suppressed but insurrection spreads throughout Spain
Mass executions in reprisal
Outbreak of the Peninsular War

", Spain, First French Empire,"Pedro Velarde y Santillán  †
Luís Daoíz de Torres  †
Jacinto Ruiz y Mendoza",Joachim Murat,,,"200[1]–500 dead,[2] including 113 prisoners executed[2]",31[1]–150 dead[3]
First Battle of Polotsk,"
Part of the French invasion of Russia (1812)
","Polotsk, Belarus",17–18 August 1812,"Indecisive
Russians retreat
French advance toward Saint Petersburg halted[1]", Russian Empire," First French Empire
 Kingdom of Bavaria",Prince Peter Wittgenstein,"Nicolas Oudinot (WIA), Marquis Laurent Gouvion Saint-Cyr","22,000 troops,
135 cannons","18,000 troops,
120 cannons","4,500–5,500","6,000"
First Battle of Porto,"
Part of the Peninsular War
","Porto, Portugal",28 March 1809,French victory, Portugal, French Empire, Caetano José Vaz Parreiras, Nicolas Jean de Dieu Soult,"
About 24,000 men:

4,500 regular army
10,000 ordenanças (militia)
9,000 armed citizens

","21,500 men including 3,100 cavalry","10,000","2,100 killed and wounded"
First Siege of Zaragoza,"
Part of the Peninsular War
","Zaragoza, Spain",15 June – 14 August 1808,Spanish victory," First French Empire
 Duchy of Warsaw", Kingdom of Spain," Charles Lefebvre-Desnouettes
 Jean-Antoine Verdier"," José de Palafox y Melzi
 Felipe Augusto de Saint-Marcq
 Juan O'Neylle","8,500 regulars,
1,000 cavalry,
60 guns
Total: 9,500","500 regulars,
6,000 militia
Total: 6,500","3,000–3,500","5,000"
Greater Poland Uprising of 1806,"
Part of the War of the Fourth Coalition
",Greater Poland,November 1806,Decisive French and Polish victory," First French Empire
 Polish Insurgents", Kingdom of Prussia," Napoleon I
 Jan Dąbrowski
 Józef Poniatowski", Frederick William III,"Unknown French soldiers
ca. 23,000 Polish soldiers
Unknown Pospolite ruszenie",,,
Invasion of Portugal (1807),"
Part of the Napoleonic Wars
",Portugal,19 to 30 November 1807,Decisive Franco-Spanish victory," French Empire
 Spain", Portugal," Jean-Andoche Junot
 General Solano", Prince Regent John," 24,918
 25,500"," 48,396",Light,Army came under French command
,,,,,,,,,,,,
Second Battle of Polotsk,"
Part of French invasion of Russia (1812)
","Polotsk, Belarus",18–20 October 1812,Russian victory, Russian Empire, First French Empire,Prince Peter Wittgenstein,Laurent Gouvion Saint-Cyr,"31,000 regular troops,
9,000 militia,
9,000 regular troops operating independently;
Total of: 49,000","23,000-27,000","8,000-12,500","8,000"
Battle of Porto,"
Part of the Peninsular War
",Portugal,12 May 1809,"
Decisive Anglo-Portuguese victory

Portugal liberated
French retreat into Spain

", French Empire," United Kingdom
 Portugal", Marshal Nicolas Soult, General Lord Wellesley,"11,200","18,400","600 killed or wounded & 1,500 captured","23 killed, 98 wounded"
Second Siege of Zaragoza,"
Part of the Peninsular War
","Zaragoza, Spain",20 December 1808 – 20 February 1809,French victory," French Empire
 Duchy of Warsaw
  Switzerland", Spain,"Jeannot de Moncey
Édouard Mortier
Jean Lannes",José de Palafox y Melzi,"40,000 regulars
4,000 cavalry
60 guns","31,000 regulars and militia
1,400 cavalry
160 guns","
10,000 dead
2,500–5,000 sick or wounded","54,000 dead"
Siege of Almeida 1810,"
Part of Peninsular War
","Almeida, Portugal","July 25 to August 27, 1810",French victory, French Empire," United Kingdom
 Portugal",Marshal Michel Ney,Brig-Gen William Cox,"16,000 men, 100 cannons","5,000 men, 100 cannons","58 dead, 320 wounded","600 dead, 300 wounded, 4,100 captured"
Siege of Ancona,"
Part of the Neapolitan War
","Ancona, present-day Italy",5 May – 30 May 1815,Anglo-Austrian victory," Austrian Empire
 United Kingdom", Kingdom of Naples,,,"2,300","1,500",light,"500 killed or wounded
1,000 captured"
Siege of Astorga,"
Part of the Peninsular War
","Astorga, Spain",21 March — 22 April 1810,French victory, France, Spain," André Masséna
 Jean-Andoche Junot", José María Santocildes,"10,800 infantry,
1,200 cavalry,
18 guns","2,700 infantry","160 dead,
400 wounded","51 dead,
109 wounded"
Siege of Badajoz,"
Part of the Peninsular War
","Badajoz, Spain",16 March – 6 April 1812,Anglo-Portuguese victory," Great Britain,
 Portugal", France," Arthur Wellesley, the First Duke of Wellington
 Luís do Rego Barreto", Général de brigade Armand Philippon,"27,000 regulars and 52 cannons","4,742 regulars","4,800 dead or wounded","1,500 dead or wounded
3,500 captured"
Siege of Burgos,"
Part of the Peninsular War
","Burgos, Spain",19 September to 21 October 1812,French victory, French Empire," United Kingdom
 Portugal", Jean Louis Dubreton, Marquess of Wellington,"2,000","35,000
13 engineers
8 24-pound cannon","304 killed, 323 wounded
60 captured, 7 guns","550 killed
1,550 wounded, 3 guns"
Siege of Ciudad Rodrigo,"
Part of Peninsular War
","Ciudad Rodrigo, Spain",26 April – 9 July 1810,French victory, French Empire, Spain,Marshal Michel Ney,Field Marshal Don Andrés Perez de Herrasti,"42,000, 60 cannons","5,500, 118 cannons","180 killed, over 1,000 wounded","461 killed, 994 wounded, 4,000 captured"
Siege of Ciudad Rodrigo,"
Part of the Peninsular War
","Ciudad Rodrigo, Spain",7 to 20 January 1812,Allied victory," United Kingdom
 Portugal", French Empire," Viscount Wellington
 Luís do Rego Barreto", Jean Léonard Barrié,"10,700,
36 heavy cannon","2,000,
153 cannon","318 dead,
1,378 wounded","529 dead or wounded,
1,471 captured"
Siege of Cádiz,"
Part of the Peninsular War
","Cádiz, Spain",5 February 1810 – 24 August 1812,"
Allied victory[1]

Proclamation of Spanish Constitution of 1812[2]

"," Spain
 United Kingdom
 Portugal", French Empire," Manuel la Peña
 José de Zayas
 Duke of Alburquerque
 Thomas Graham"," Claude Victor
 Nicolas Jean-de-Dieu Soult
 Baron de Sénarmont  †","

17,000–18,000 Spanish
3,000–4,000 British
1,700 Portuguese
16 warships

","

60,000–70,000
30–35 warships

","896 dead
3,706 wounded","4,500–5,500 dead or wounded
30 ships destroyed[5]"
Siege of Danzig,"
Part of the War of the Fourth Coalition
","Danzig, Prussia (present-day Gdańsk, Poland)",19 March - 24 May 1807,French victory, France," Prussia
 Russia
 United Kingdom (naval)", Marshal Lefebvre," Marshall Kalckreuth
 Nikolay Kamensky","c. 27,000 infantry
3,000 cavalry","c. 20,000 infantry",c. 400,"c. 11,000"
Siege of Gaeta,"
Part of the War of the Third Coalition
",Gaeta (present-day Italy),26 February - 18 July 1806,French victory,"
 France

 Italy
 Polish Legions
 Switzerland

", Kingdoms of Naples and Sicily," André Masséna
 Nicolas de Lacour
 Jacques Campredon"," Pr. Hesse-Philippsthal
 Colonel Hotz
 Fra Diavolo","12,000","7,000","1,000","7,000"
Siege of Gaeta,"
Part of the Neapolitan War
","Gaeta, present-day Italy",28 May 1815 – 8 August 1815,Anglo-Austrian victory," Austrian Empire
 United Kingdom", Kingdom of Naples,,Maresciallo di Campo Begani,"2,500","2,000",277 killed or wounded,"238 killed
1,762 captured"
Siege of Hameln,"
Part of The War of the Fourth Coalition
","Hamelin, 36 km southwest of Hanover",7 to 22 November 1806,"
French victory:

surrender of the Prussian garrison

"," First French Empire
 Kingdom of Holland", Kingdom of Prussia," Édouard Mortier
 Jean Dumonceau
 Jean Savary", Karl von Lecoq,"6,000, 12 cannons","10,000, 175 cannons",minor,"600–10,000, 175 guns"
Siege of Kolberg (1807),"
Part of the War of the Fourth Coalition
","Kolberg (Kołobrzeg), Prussian Province of Pomerania",March to 2 July 1807,Siege lifted by peace treaty,"
 French Empire

French Empire auxiliaries:
 Polish insurgents of the Greater Poland Uprising
Italy[1]
 Kingdom of Holland

Saxe-Coburg-Saalfeld[2]


 Saxe-Gotha-Altenburg[3]
 Saxe-Meiningen[4]
Saxe-Hildburghausen[2]
 Saxe-Weimar[2]
 Württemberg[1]
 Nassau

","
 Prussia
Naval support:

 Sweden
 United Kingdom

"," Victor-Perrin
 Teulié
 Loison
 Mortier"," Lucadou
 Gneisenau
 Nettelbeck
 Schill","14,000 men
41 guns[5][dubious – discuss]","6,000 men (fortress)
~230 guns (fortress)[5]
46 guns on Swedish frigate
add. guns on British vessel","102 officers and 5,000 men dead and wounded or died of sickness","55 officers and 3,000 men dead, wounded, or died of sickness"
Siege of Magdeburg,"
Part of The War of the Fourth Coalition
","Magdeburg, Kingdom of Prussia",25 October - 8 November 1806,"
French victory:

surrender of the Prussian garrison,
capture of Prussia's second-largest city on 11 November 1806.

", First French Empire, Kingdom of Prussia, Michel Ney, Franz von Kleist,"18,000-25,000 men[2]","24,000-25,000 men[1]
700 artillery pieces[2]",unknown,"entire garrison and 20 generals P.o.W.[2]
54 flags, 700 artillery captured[2]"
Siege of San Sebastián,"
Part of Peninsular War
","San Sebastián, Spain",7 July–8 September 1813,"French victory (1st),
Anglo-Portuguese victory (2nd)"," United Kingdom
 Portugal", Napoleonic Empire, Thomas Graham, Louis Emmanuel Rey,"9,750","3,380","3,770 in total","850 killed and 2,530 captured"
Battle of Stralsund,"
Part of Napoleonic Wars
","Stralsund, Swedish Pomerania",30 January to 24 August 1807,French victory, Sweden, France," King Gustav IV Adolf
 Hans von Essen"," Édouard Mortier
 Guillaume Brune","15,000, 500 guns","40,000",unknown,998
Siege of Tarragona (1811),"
Part of Peninsular War
","Tarragona, Spain",5 May – 29 June 1811,French victory, French Empire, Spain, Louis Suchet, Juan de Contreras,"21,634","6,500 & reinforcements","4,300","15,000"
Siege of Tarragona,"
Part of the Peninsular War
","Tarragona, Spain","June 3 to June 11, 1813",French victory, French Empire," United Kingdom,
 Spain"," Antoine Bertoletti
 Maurice Mathieu"," John Murray
 Benjamin Hallowell
 Francisco Copons","1,600","23,000",98 dead or wounded,"102 dead or wounded,
18 siege cannons"
Siege of Valencia (1812),"
Part of Peninsular War
","Valencia, Spain",26 December 1811 – 9 January 1812,French victory, French Empire, Spain, Louis Suchet, Joaquín Blake,"20,595–33,000","28,044","2,000","20,281, 374 guns"
Siege of Gerona,"
Part of the Peninsular War
","Girona, Spain","May 6 - December 12, 1809","
French victory,

The city capitulates,
Its defense inspires resistance elsewhere in the Peninsula.[1]

"," French Empire
 Kingdom of Westphalia", Spain,"Laurent de Gouvion St-Cyr
Pierre Augereau",Mariano Alvarez de Castro (POW),"35,000 regulars
40 guns","5,600 regulars and militia","14,000 dead, wounded, or ill","5,000 dead
1,200 wounded
3,000 captured"
Tyrolean Rebellion,"
Part of the War of the Fifth Coalition
",Tyrol,April-November 1809,"Decisive French victory
Rebellion crushed","
 French Empire

 Bavaria
 Saxony
 Napoleonic Italy

","
 Tyrolean partisans
Supported by:
 Austria"," François-Joseph Lefebvre
 Prince Eugène","
 Andreas Hofer †

 Peter Mayr †","25,000","80,000","5,000","12,250"
Walcheren Campaign,"
Part of the War of the Fifth Coalition
","Walcheren, Netherlands",30 July – 9 December 1809,French-Dutch victory," First French Empire
 Kingdom of Holland", United Kingdom," Jean-Baptiste Bernadotte
 Louis Claude Monnet de Lorbeau"," Lord Chatham
 Sir Richard Strachan","20,000","40,000","4,000 dead, wounded or captured
including 1st battalion, Irish legion
5,000+ sick","4,000+ dead, wounded or captured
12,000+ sick"
